country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Lebanon,22,1113519,13.923035828847858,0.00608302161525387,25
Lebanon,23,1121054,13.929779872169744,0.00674404332188594,26
Lebanon,24,1135565,13.942640882394468,0.012861010224723302,27
Lebanon,25,1153070,13.957938508596552,0.015297626202084302,28
Lebanon,26,1169584,13.97215868799352,0.014220179396968291,29
Lebanon,27,1183450,13.983944459472957,0.011785771479436491,30
Lebanon,28,1194341,13.993105126800165,0.009160667327208216,31
Lebanon,29,1202481,13.999897480421424,0.006792353621259295,32
Lebanon,30,1207385,14.003967421878192,0.004069941456767978,33
Lebanon,31,1209872,14.006025126853316,0.0020577049751242527,34
Lebanon,32,1212258,14.007995294244648,0.001970167391331046,35
Lebanon,33,1213589,14.00909264303339,0.0010973487887433464,36
Lebanon,34,1214561,14.00989325259369,8.006095602990371e-4,37
Lebanon,35,1215805,14.010916966806809,0.0010237142131188648,38
Lebanon,36,1216638,14.011601874969148,6.849081623396813e-4,39
Lebanon,37,1216999,14.011898550276639,2.96675307490446e-4,40
Lebanon,38,1218004,14.012724011318836,8.25461042197162e-4,41
Lebanon,39,1218474,14.013109814109447,3.8580279061051215e-4,42
Lebanon,40,1218987,14.013530743927461,4.2092981801467033e-4,43
Lebanon,41,1219465,14.013922795939248,3.920520117866033e-4,44
Lebanon,42,1219928,14.014302398574461,3.796026352134163e-4,45
Lebanon,43,1220329,14.014631052485594,3.2865391113290343e-4,46
Lebanon,44,1220661,14.014903073265726,2.720207801321095e-4,47
Lebanon,45,1221049,14.015220883327745,3.1781006201825335e-4,48
Lebanon,46,1221572,14.015649111864215,4.282285364709537e-4,49
Lebanon,47,707123,13.468959904287205,-0.5466892075770104,50
Lebanon,48,723640,13.492049310135197,0.02308940584799224,51
Lebanon,49,727930,13.497960168709591,0.005910858574393885,52
Lesotho,-3,30651,10.330420567259534,NA,0
Lesotho,-2,31604,10.361038973842623,0.030618406583089453,1
Lesotho,-1,31899,10.370329940319197,0.009290966476573459,2
Lesotho,0,32176,10.378976112012433,0.008646171693236226,3
Lesotho,1,32258,10.381521353477128,0.002545241464694925,4
Lesotho,2,32372,10.385049130615592,0.003527777138463861,5
Lesotho,3,32434,10.38696253427932,0.0019134036637282748,6
Lesotho,4,32612,10.392435597782802,0.0054730635034818675,7
Lesotho,5,32707,10.395344401254501,0.002908803471699528,8
Lesotho,6,32716,10.395619533854864,2.751326003629373e-4,9
Lesotho,7,32775,10.3974213086319,0.0018017747770358028,10
Lesotho,8,32880,10.400619849170116,0.0031985405382162213,11
Lesotho,9,32910,10.401531841937386,9.119927672696093e-4,12
Lesotho,10,32910,10.401531841937386,0,13
Lesotho,11,32968,10.403292673018653,0.0017608310812669004,14
Lesotho,12,32968,10.403292673018653,0,15
Lesotho,13,33015,10.404717282628672,0.001424609610019445,16
Lesotho,14,33151,10.408828161071545,0.004110878442872945,17
Lesotho,15,33151,10.408828161071545,0,18
Lesotho,16,33305,10.41346281484728,0.004634653775735131,19
Lesotho,17,33358,10.415052902637118,0.001590087789837824,20
Lesotho,18,33562,10.421149753561107,0.006096850923988484,21
Lesotho,19,33746,10.426617170758282,0.005467417197175806,22
Lesotho,20,33746,10.426617170758282,0,23
Lesotho,21,33938,10.432290609532771,0.0056734387744885595,24
Lesotho,22,33938,10.432290609532771,0,25
Lesotho,23,33938,10.432290609532771,0,26
Lesotho,24,34040,10.435291582687311,0.0030009731545401763,27
Lesotho,25,34040,10.435291582687311,0,28
Lesotho,26,34040,10.435291582687311,0,29
Lesotho,27,34040,10.435291582687311,0,30
Lesotho,28,34206,10.440156346259636,0.004864763572324904,31
Lesotho,29,34206,10.440156346259636,0,32
Lesotho,30,34206,10.440156346259636,0,33
Lesotho,31,34206,10.440156346259636,0,34
Lesotho,32,34287,10.442521552565708,0.002365206306071954,35
Lesotho,33,34490,10.448424705930886,0.005903153365178326,36
Lesotho,34,34490,10.448424705930886,0,37
Lesotho,35,34490,10.448424705930886,0,38
Lesotho,36,34490,10.448424705930886,0,39
Lesotho,37,34490,10.448424705930886,0,40
Lesotho,38,34490,10.448424705930886,0,41
Lesotho,39,34490,10.448424705930886,0,42
Lesotho,40,34490,10.448424705930886,0,43
Lesotho,41,34490,10.448424705930886,0,44
Lesotho,42,34490,10.448424705930886,0,45
Lesotho,43,34490,10.448424705930886,0,46
Lesotho,44,34490,10.448424705930886,0,47
Lesotho,45,34490,10.448424705930886,0,48
Lesotho,46,34490,10.448424705930886,0,49
Lesotho,47,26004,10.16600565132436,-0.2824190546065264,50
Lesotho,48,28408,10.254426074622923,0.08842042329856348,51
Lesotho,49,28408,10.254426074622923,0,52
Liberia,-3,6851,8.832149906002899,NA,0
Liberia,-2,7121,8.870803443982124,0.03865353797922566,1
Liberia,-1,7208,8.882946799288174,0.012143355306049486,2
Liberia,0,7254,8.889308319842847,0.006361520554673206,3
Liberia,1,7276,8.892336539638013,0.003028219795165654,4
